x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,0.1,0.9,-0.0214381,0.556364,-0.50836,0.65694,3.13464,-0.208552,0.753948,1.13687,0.301667,-0.0634042,0.00837807,
-0.2,0.2,-0.1,0.512994,0.653328,-0.137939,0.539419,-0.521884,0.236945,-0.921492,0.805989,0.0402112,-1.37429,-0.22902,
-0.2,0.2,-0.1,0.817517,-0.0408083,0.498564,0.285366,-0.517217,0.322009,-1.17281,0.619578,0.11327,1.03525,0.0481815,
-0.2,0.2,-0.1,0.30112,0.734389,0.297968,0.530297,-0.466703,0.299381,-1.34035,0.856023,-0.528498,-1.22793,-0.180242,
-0.2,0.2,-0.1,-0.116554,0.704567,0.62546,-0.314325,-0.518134,-0.436233,1.22866,0.954847,1.32199,-0.134841,0.245775,
-0.2,0.2,-0.1,0.286015,-0.606791,-0.2493,0.698462,-0.452062,-0.438361,1.3962,0.811122,0.265467,0.43431,-0.261053,
-0.2,0.2,-0.1,0.549896,0.218207,-0.0961681,0.80047,-0.474417,-0.451553,1.2845,0.932977,-1.47578,-0.189848,-0.0899761,
-0.2,0.2,-0.1,0.240912,-0.109369,-0.658095,0.704919,-0.380484,-0.394253,1.36828,0.865211,0.0377198,-0.586494,0.773336,
-0.2,0.2,0,-0.0287899,-0.330411,-0.198548,0.922268,-0.518891,-0.681175,1.36828,1.29947,-0.410015,0.475522,0.718388,
-0.2,0.2,0,0.240912,-0.109369,-0.658095,0.704919,-0.512839,-0.651345,1.34035,1.47138,0.0317438,-0.918961,0.710039,
-0.2,0.2,0.6,0.512994,0.653328,-0.137939,0.539419,2.91819,0.0703122,-0.195468,2.24002,-0.581961,-0.37235,0.543132,
-0.2,0.2,0.6,0.549896,0.218207,-0.0961681,0.80047,2.94589,-0.00440347,-0.111696,2.11456,-0.261911,0.727063,0.591077,
-0.2,0.2,0.6,-0.0214381,0.556364,-0.50836,0.65694,3.07339,-0.550587,0.251316,2.35291,0.304073,-0.900191,0.782276,
-0.2,0.2,0.6,-0.0287899,-0.330411,-0.198548,0.922268,3.13699,-0.837509,0.502632,2.21118,1.53068,0.324058,-0.218531,
-0.2,0.2,0.6,0.240912,-0.109369,-0.658095,0.704919,2.88,-0.0481707,-1.17961e-16,2.23552,1.33872,0.00815618,-0.10263,
-0.2,0.2,0.6,0.0988827,-0.014907,0.0111632,0.994925,3.04955,-0.420489,0.083772,2.13396,0.266354,1.11541,0.724939,
-0.2,0.2,0.7,0.700479,0.509244,-0.424114,0.264815,2.80748,0.143579,-0.083772,1.99181,-0.416686,-0.00889718,-0.252453,
-0.2,0.2,0.7,0.512994,0.653328,-0.137939,0.539419,2.8389,0.0817791,-0.195468,1.89297,-0.543119,-0.0114155,0.776681,
-0.2,0.2,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.93271,0.0368316,-1.17961e-16,2.07077,0.422156,-1.48085,0.113304,
-0.2,0.2,0.7,0.549896,0.218207,-0.0961681,0.80047,2.8952,-0.174384,0.083772,1.75692,-0.10928,1.17401,0.300015,
-0.2,0.2,0.7,-0.0214381,0.556364,-0.50836,0.65694,2.87656,-0.316591,0.13962,2.04926,0.501838,-0.433172,0.776473,
-0.2,0.2,0.7,-0.120001,-0.124899,0.946332,-0.272866,2.8805,0.309918,-0.13962,1.96204,1.48315,-0.778843,-0.0136731,
-0.2,0.2,0.7,0.0988827,-0.014907,0.0111632,0.994925,2.95859,-0.276778,0.055848,1.81417,1.2592,1.47168,-0.144057,
-0.2,0.2,0.8,0.700479,0.509244,-0.424114,0.264815,2.88311,0.297458,-0.335088,1.57958,-0.346486,0.237581,0.132929,
-0.2,0.2,0.8,0.512994,0.653328,-0.137939,0.539419,2.87986,-0.124387,0.055848,1.46064,-0.723601,0.449236,0.778977,
-0.2,0.2,0.8,-0.143417,-0.591127,0.78482,-0.118565,2.90227,0.0250303,-1.17961e-16,1.70182,0.0667186,-1.08807,-0.237935,
-0.2,0.2,0.8,-0.0214381,0.556364,-0.50836,0.65694,2.86617,-0.179322,0.083772,1.66417,0.590395,-0.0620004,0.653825,
-0.2,0.2,0.8,-0.458123,0.0110889,-0.37481,0.805927,3.13781,-0.655513,0.83772,1.6945,1.46086,-0.0442945,0.542443,
-0.2,0.2,0.9,0.485216,0.809052,0.212872,-0.254334,3.08328,0.168371,-0.530556,0.965252,-1.46592,-1.11115,0.467204,
-0.2,0.2,0.9,0.700479,0.509244,-0.424114,0.264815,3.05372,0.256725,-0.502632,1.03102,-0.386478,0.556371,0.39042,
-0.2,0.2,0.9,-0.143417,-0.591127,0.78482,-0.118565,2.99705,0.0342823,-0.027924,1.22289,0.0757835,-0.703044,-0.243467,
-0.2,0.2,0.9,-0.0214381,0.556364,-0.50836,0.65694,3.14045,-0.449025,0.781872,1.16281,0.12929,0.0808441,0.0264721,
-0.2,0.3,-0.1,0.809288,-0.273956,0.147917,0.498117,-0.516262,0.116884,-1.31243,0.6477,1.09727,0.927897,0.0713274,
-0.2,0.3,-0.1,0.512994,0.653328,-0.137939,0.539419,-0.52189,-0.0318227,-0.781872,0.662139,0.0642917,-1.43165,0.0199008,
-0.2,0.3,-0.1,0.817517,-0.0408083,0.498564,0.285366,-0.491611,0.13252,-1.25658,0.587285,0.0245033,0.886598,0.204594,
-0.2,0.3,-0.1,0.30112,0.734389,0.297968,0.530297,-0.445405,0.0475496,-1.36828,0.700772,-0.587959,-1.33032,-0.235575,
-0.2,0.3,-0.1,-0.116554,0.704567,0.62546,-0.314325,-0.445154,-0.600099,1.3962,0.851365,1.13122,-0.0884675,0.000318434,
-0.2,0.3,-0.1,0.286015,-0.606791,-0.2493,0.698462,-0.488788,-0.536947,1.22866,0.640254,0.38092,0.724446,-0.25718,
-0.2,0.3,-0.1,0.637035,0.0647065,-0.592918,0.488312,-0.519013,-0.466108,1.00526,0.808364,-0.384073,-1.06999,-0.132612,
-0.2,0.3,-0.1,0.549896,0.218207,-0.0961681,0.80047,-0.453376,-0.593617,1.31243,0.811917,-1.48111,-0.189033,0.168593,
-0.2,0.3,-0.1,0.286396,0.384678,0.865462,0.144829,-0.522104,0.19293,-1.20073,0.794155,-1.46302,-0.0684496,0.263817,
-0.2,0.3,-0.1,0.240912,-0.109369,-0.658095,0.704919,-0.364382,-0.543145,1.3962,0.768293,-0.00247592,-0.34585,0.783998,
-0.2,0.3,0,0.240912,-0.109369,-0.658095,0.704919,-0.478625,-0.857776,1.3962,1.40009,-0.0580632,-0.65029,0.682586,
-0.2,0.3,0.4,-0.0214381,0.556364,-0.50836,0.65694,2.07137,-1.55228,-1.36828,2.38313,-1.20246,-0.821529,0.297322,
-0.2,0.3,0.4,-0.0287899,-0.330411,-0.198548,0.922268,2.38591,-1.48863,-0.893568,2.31079,0.625856,0.422505,-0.260251,
-0.2,0.3,0.4,0.0988827,-0.014907,0.0111632,0.994925,1.83142,-1.56517,-1.36828,2.2414,-0.0435867,0.924498,-0.162999,
-0.2,0.3,0.5,0.512994,0.653328,-0.137939,0.539419,3.04836,-0.490924,-0.41886,2.35325,-1.31651,-0.488528,0.0931271,
-0.2,0.3,0.5,0.549896,0.218207,-0.0961681,0.80047,3.12296,-0.326344,-0.41886,2.25775,-0.640194,0.321652,0.516954,
-0.2,0.3,0.5,-0.0214381,0.556364,-0.50836,0.65694,1.49248,-1.55031,-1.36828,2.38499,-0.930178,-0.466006,0.0576577,
-0.2,0.3,0.5,-0.0287899,-0.330411,-0.198548,0.922268,3.11977,-0.60206,-0.41886,2.25791,0.781276,1.11456,0.279541,
-0.2,0.3,0.5,0.240912,-0.109369,-0.658095,0.704919,3.12143,-0.279493,-0.446784,2.39488,0.865246,0.0210548,0.395336,
-0.2,0.3,0.5,0.0988827,-0.014907,0.0111632,0.994925,3.06378,-0.892866,-0.195468,2.18243,-0.238158,1.03099,0.672535,
-0.2,0.3,0.6,0.700479,0.509244,-0.424114,0.264815,3.12449,0.210369,-0.670176,2.26164,-0.438803,-0.723912,0.0367236,
-0.2,0.3,0.6,0.512994,0.653328,-0.137939,0.539419,3.01146,-0.0372802,-0.586404,2.12245,-0.751594,-0.556243,0.781255,
-0.2,0.3,0.6,0.637035,0.0647065,-0.592918,0.488312,2.98243,0.0401446,-0.41886,2.15084,0.3193,0.0895064,-0.258712,
-0.2,0.3,0.6,0.549896,0.218207,-0.0961681,0.80047,2.95171,-0.217621,-0.363012,2.00942,-0.678781,0.713944,0.766682,
-0.2,0.3,0.6,-0.0214381,0.556364,-0.50836,0.65694,2.84141,-0.81055,-0.111696,2.22136,-0.06201,-0.575005,0.728689,
-0.2,0.3,0.6,-0.458123,0.0110889,-0.37481,0.805927,3.14022,-1.32027,0.55848,2.25008,0.892707,-0.0422664,0.663603,
-0.2,0.3,0.6,0.240912,-0.109369,-0.658095,0.704919,2.87338,-0.220476,-0.335088,2.14864,1.00321,0.189633,-0.0945144,
-0.2,0.3,0.6,0.0988827,-0.014907,0.0111632,0.994925,2.94594,-0.663254,-0.13962,1.98684,-0.0584974,1.34514,0.753707,
-0.2,0.3,0.7,0.700479,0.509244,-0.424114,0.264815,3.00609,0.252327,-0.670176,1.93917,-0.382394,-0.321609,0.241657,
-0.2,0.3,0.7,0.512994,0.653328,-0.137939,0.539419,2.82315,-0.266236,-0.251316,1.79297,-0.887817,0.0428983,0.770713,
-0.2,0.3,0.7,0.637035,0.0647065,-0.592918,0.488312,2.97003,0.1749,-0.530556,1.80672,0.381471,0.531632,-0.260714,
-0.2,0.3,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.91333,-0.274064,-0.167544,2.01157,0.0138972,-1.42947,0.0569871,
-0.2,0.3,0.7,0.549896,0.218207,-0.0961681,0.80047,2.89278,-0.586532,0.167544,1.66331,-0.131703,1.33785,-0.089885,
-0.2,0.3,0.7,-0.0214381,0.556364,-0.50836,0.65694,2.80518,-0.568563,-0.055848,1.94043,0.199392,-0.245682,0.756364,
-0.2,0.3,0.7,-0.458123,0.0110889,-0.37481,0.805927,3.12956,-1.12119,0.753948,1.97498,1.12907,-0.0388026,0.483394,
-0.2,0.3,0.7,-0.120001,-0.124899,0.946332,-0.272866,3.01961,0.263158,-0.55848,1.94138,1.45335,-0.439966,0.177082,
-0.2,0.3,0.8,0.700479,0.509244,-0.424114,0.264815,3.04607,0.253317,-0.753948,1.53098,-0.335496,0.00750578,0.44909,
-0.2,0.3,0.8,-0.240438,0.807583,-0.538418,0.0103137,3.13055,-0.728877,0.530556,1.51634,-0.377766,-1.41241,0.72006,
-0.2,0.3,0.8,0.512994,0.653328,-0.137939,0.539419,2.93722,-0.584517,0.363012,1.36309,-1.22753,0.693595,0.778085,
-0.2,0.3,0.8,0.637035,0.0647065,-0.592918,0.488312,3.09806,0.239886,-0.753948,1.36597,0.487243,0.957599,-0.230375,
-0.2,0.3,0.8,-0.143417,-0.591127,0.78482,-0.118565,2.90999,-0.172524,-0.167544,1.64876,0.113676,-1.04615,0.0585968,
-0.2,0.3,0.8,-0.0214381,0.556364,-0.50836,0.65694,2.86474,-0.333022,-0.111696,1.56489,0.424311,0.114944,0.770184,
-0.2,0.3,0.8,-0.458123,0.0110889,-0.37481,0.805927,3.13425,-0.903598,0.83772,1.60628,1.28926,-0.0060784,0.270809,
-0.2,0.3,0.8,-0.120001,-0.124899,0.946332,-0.272866,3.04714,0.262357,-0.642252,1.5398,1.31581,-0.290802,-0.206079,
-0.2,0.3,0.9,0.844791,0.310368,-0.426841,-0.0883543,3.13524,0.151037,-0.642252,1.05956,-0.81861,0.433169,-0.151052,
-0.2,0.3,0.9,0.700479,0.509244,-0.424114,0.264815,3.13603,0.12108,-0.753948,0.973356,-0.403954,0.38526,0.592081,
-0.2,0.3,0.9,-0.143417,-0.591127,0.78482,-0.118565,3.03262,-0.0663438,-0.27924,1.16615,0.292988,-0.64755,0.0941276,
-0.2,0.3,0.9,-0.0214381,0.556364,-0.50836,0.65694,3.14158,-0.607577,0.726024,1.05192,0.0332919,0.307096,0.112285,
-0.2,0.3,0.9,0.496295,-0.15392,0.795586,-0.311516,3.10176,-0.40217,0.502632,1.08904,1.5695,-0.936879,0.725156,
