x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.6,0.7,-0.0214381,0.556364,-0.50836,0.65694,3.13326,0.638743,0.753948,1.12381,0.922696,-0.670624,0.122822,
-0.2,-0.5,0,0.512994,0.653328,-0.137939,0.539419,-0.469541,0.974323,-1.36828,0.889688,0.436544,-0.804046,-0.378712,
-0.2,-0.5,0.2,0.710471,0.667256,0.222215,-0.0249101,2.686,1.56919,1.3962,1.58424,-0.206728,0.280858,-0.628043,
-0.2,-0.5,0.3,0.710471,0.667256,0.222215,-0.0249101,2.42716,1.33649,1.3962,1.78019,-0.315724,0.252014,-0.363067,
-0.2,-0.5,0.3,0.700479,0.509244,-0.424114,0.264815,2.48049,1.37297,1.3962,1.70866,0.915922,-0.47972,-0.775444,
-0.2,-0.5,0.3,0.512994,0.653328,-0.137939,0.539419,2.75133,1.31941,1.11696,1.87698,0.855427,-0.565367,0.253664,
-0.2,-0.5,0.3,-0.649697,-0.357623,-0.35979,0.566172,2.52899,1.42501,1.3962,1.71432,-1.38997,1.28736,-0.0945772,
-0.2,-0.5,0.4,0.710471,0.667256,0.222215,-0.0249101,1.91227,1.22016,1.3962,1.85403,-0.411825,0.129524,0.145004,
-0.2,-0.5,0.4,0.485216,0.809052,0.212872,-0.254334,1.94643,1.23388,1.3962,1.95217,-0.861786,-0.296989,-0.424887,
-0.2,-0.5,0.4,0.700479,0.509244,-0.424114,0.264815,2.01458,1.23254,1.3962,1.80165,0.990203,-0.0652348,-0.556403,
-0.2,-0.5,0.4,0.512994,0.653328,-0.137939,0.539419,2.95712,0.988979,0.865644,1.94566,0.530053,-0.458769,0.112209,
-0.2,-0.5,0.5,0.710471,0.667256,0.222215,-0.0249101,2.92233,0.761296,0.83772,1.80107,-0.892244,0.556864,-0.134688,
-0.2,-0.5,0.5,0.485216,0.809052,0.212872,-0.254334,3.03757,0.671617,0.83772,1.90818,-1.47523,0.346103,-0.473707,
-0.2,-0.5,0.5,0.700479,0.509244,-0.424114,0.264815,2.56252,1.01481,0.83772,1.76947,0.678293,0.00827866,-0.648119,
-0.2,-0.5,0.5,0.512994,0.653328,-0.137939,0.539419,3.13857,0.571451,0.865644,1.88393,0.100052,-0.254197,-0.232526,
-0.2,-0.5,0.5,-0.143417,-0.591127,0.78482,-0.118565,1.62714,1.33309,1.3962,1.75065,1.46317,-1.08003,-0.360927,
-0.2,-0.5,0.5,0.549896,0.218207,-0.0961681,0.80047,3.11314,0.599614,0.753948,1.79493,0.96503,0.449807,-0.0596151,
-0.2,-0.5,0.6,-0.135742,0.975487,0.0644285,0.160776,3.10262,0.549351,0.530556,1.69224,-1.0335,-1.44272,0.0580352,
-0.2,-0.5,0.6,0.710471,0.667256,0.222215,-0.0249101,2.87163,0.634379,0.6981,1.62502,-1.19309,0.564399,0.25968,
-0.2,-0.5,0.6,0.485216,0.809052,0.212872,-0.254334,2.83085,0.639071,0.642252,1.7386,-1.53574,0.0304756,-0.136513,
-0.2,-0.5,0.6,0.930077,0.0704029,-0.204894,-0.296679,2.55758,1.3433,0.251316,1.46763,-0.256263,1.4722,-0.537132,
-0.2,-0.5,0.6,0.237461,0.879552,-0.0269431,-0.411429,1.00403,1.54627,1.3962,1.80024,-0.557832,-1.27212,-0.444645,
-0.2,-0.5,0.6,0.844791,0.310368,-0.426841,-0.0883543,1.03346,1.51002,1.3962,1.5077,0.393804,0.994767,-0.364811,
-0.2,-0.5,0.6,0.700479,0.509244,-0.424114,0.264815,2.7671,0.779703,0.642252,1.61392,0.42704,0.194929,-0.760542,
-0.2,-0.5,0.6,0.512994,0.653328,-0.137939,0.539419,3.13364,0.352127,0.893568,1.69826,-0.0345685,0.100879,-0.299013,
-0.2,-0.5,0.6,-0.649697,-0.357623,-0.35979,0.566172,0.994572,1.44643,1.3962,1.69674,-1.53416,-0.241587,0.114045,
-0.2,-0.5,0.6,-0.143417,-0.591127,0.78482,-0.118565,1.73195,1.43319,0.893568,1.64664,1.48037,-0.682795,-0.303771,
-0.2,-0.5,0.6,0.549896,0.218207,-0.0961681,0.80047,3.12772,0.393886,0.781872,1.58357,0.995826,0.599058,-0.424416,
-0.2,-0.5,0.7,0.485216,0.809052,0.212872,-0.254334,2.84524,0.59024,0.446784,1.4507,-1.57008,-0.152134,0.169143,
-0.2,-0.5,0.7,0.237461,0.879552,-0.0269431,-0.411429,2.81757,0.820814,0.13962,1.5323,-1.56233,-0.703485,-0.767938,
-0.2,-0.5,0.7,0.844791,0.310368,-0.426841,-0.0883543,2.854,1.1221,-0.111696,1.24671,0.248848,1.00205,-0.765433,
-0.2,-0.5,0.7,0.700479,0.509244,-0.424114,0.264815,2.87562,0.650184,0.502632,1.33463,0.286778,0.485788,-0.781776,
-0.2,-0.5,0.7,0.512994,0.653328,-0.137939,0.539419,3.14047,0.261835,0.893568,1.39324,-0.104865,0.47118,-0.27276,
-0.2,-0.5,0.7,-0.497779,-0.492155,0.139203,0.700444,3.12869,1.38085,-0.753948,1.54208,-0.959599,-0.104398,-0.7343,
-0.2,-0.5,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.82755,0.895635,0.27924,1.42006,0.490586,-0.951485,-0.768357,
-0.2,-0.5,0.7,0.549896,0.218207,-0.0961681,0.80047,3.07873,0.409431,0.614328,1.24556,1.3143,0.912855,-0.779043,
-0.2,-0.5,0.8,0.237461,0.879552,-0.0269431,-0.411429,2.99396,0.601731,0.111696,1.12938,-1.56834,-0.671797,-0.385929,
-0.2,-0.5,0.8,0.844791,0.310368,-0.426841,-0.0883543,3.13599,0.862971,-0.251316,0.800075,-0.000922316,1.24995,-0.75973,
-0.2,-0.5,0.8,0.700479,0.509244,-0.424114,0.264815,3.04994,0.585164,0.363012,0.884239,0.194854,0.844508,-0.779302,
-0.2,-0.5,0.8,0.512994,0.653328,-0.137939,0.539419,3.13535,0.35777,0.670176,0.923298,-0.122447,0.854462,0.00847196,
-0.2,-0.5,0.8,-0.497779,-0.492155,0.139203,0.700444,2.98493,0.84641,-0.167544,1.17979,-1.56158,0.251522,-0.675308,
-0.2,-0.5,0.8,-0.143417,-0.591127,0.78482,-0.118565,3.01282,0.777106,0.055848,1.04844,0.388311,-0.655362,-0.768262,
-0.2,-0.5,0.8,-0.0214381,0.556364,-0.50836,0.65694,3.13884,0.298374,0.781872,1.16902,0.632095,-0.484622,0.0294157,
-0.2,-0.4,-0.1,0.512994,0.653328,-0.137939,0.539419,-0.517585,0.39607,-0.251316,0.457324,-0.951657,-0.754635,-0.783628,
-0.2,-0.4,-0.1,0.30112,0.734389,0.297968,0.530297,-0.521894,0.55365,-1.03319,0.585598,-0.590774,-0.663847,-0.0328325,
-0.2,-0.4,-0.1,0.084824,0.750203,0.627113,0.19165,-0.519839,0.594589,-1.14488,0.555623,-1.46546,-0.424842,0.0585892,
-0.2,-0.4,-0.1,0.286015,-0.606791,-0.2493,0.698462,-0.434083,0.075321,1.3962,0.540748,0.307402,0.190268,-0.244022,
-0.2,-0.4,-0.1,0.637035,0.0647065,-0.592918,0.488312,-0.359625,0.339601,1.20073,0.189809,-1.00334,-1.03419,-0.784481,
-0.2,-0.4,-0.1,0.549896,0.218207,-0.0961681,0.80047,-0.411368,0.0730619,1.3962,0.630056,-1.53616,-0.094961,-0.32133,
-0.2,-0.4,0,0.512994,0.653328,-0.137939,0.539419,-0.519978,0.934551,-1.31243,1.22257,0.683425,-1.1143,-0.0329806,
-0.2,-0.4,0.3,0.710471,0.667256,0.222215,-0.0249101,2.39512,1.40157,1.3962,2.12903,-0.306342,-0.151283,-0.45435,
-0.2,-0.4,0.3,0.700479,0.509244,-0.424114,0.264815,2.45493,1.42282,1.3962,2.06411,1.1573,-0.664339,-0.344709,
-0.2,-0.4,0.4,0.710471,0.667256,0.222215,-0.0249101,1.86309,1.27518,1.3962,2.21591,-0.418835,-0.270543,0.0274738,
